исходная форма,глоссированная форма,частотность,глосса,лемма,POS,3,976
urlə,ur-lə,4,уходить-imp.2sg,ɵrdej,VERB,,
urren,ur-re-n,3,уходить-nfut-3sg,ɵrdej,VERB,,
urrə,ur-rə,2,уходить-cvb.neg,ɵrdej,VERB,,
urrin,ur-ri-n,10,уходить-pst-3sg,ɵrdej,VERB,,
urritən,ur-ri-tən,3,уходить-pst-3pl,ɵrdej,VERB,,
urteken,ur=teken,2,прежде=restr,ɵr,ADV,,
Urelen,ure-le-n,2,вершина-loc-poss.3sg,ure,NOUN,,
urečin,urečin,10,похожий,urečin,ADJ,,
ureďennen,ureďen-ne-n,2,уезжать-nfut-3sg,ured'endej,VERB,,
urekčjen,urekčjen,2,гора,urekčen,NOUN,,
Urele,Urele,9,Урэлэ,Urele,PROPN,,
ureɲkum,ureɲku-m,2,дурачок-acc,ureɲkun,NOUN,,
urep,urep,24,прежний,ɵrep,ADJ,,
urepu,urep-acc,8,прежний-acc,ɵrep,ADJ,,
urepel,urepe-l,2,тот-pl,ɵrep,PRON,,
urewrin,urew-ri-n,2,убить.медведя-pst-3sg,urewdej,VERB,,
urge,urge,2,тяжелый,urge,ADJ,,
urkelgai,urke-l-ga-i,2,петля-pl-dest-poss.refl.sg,urka,NOUN,,
urken,urken,2,юноша,urken,NOUN,,
uruɲə,uruɲə,2,не.шуми,uruɲe,INTJ,,
utə,ut=ə,5,сын=voc,ut,NOUN,,
utaləddən,utalə-d-də-n,2,сверкать-prog-pst-3sg,utaldaj,VERB,,
Utaqan,Utaqan,10,Утакан,Utakan,PROPN,,
uteprun,utepru-⊘-n,2,сиять-nfut-3sg,uteprudej,VERB,,
Utəŋa,Utəŋa,3,Утэнгэ,Uteŋe,PROPN,,
Utəŋaw,Utəŋa-w,3,Утэнгэ-acc,Uteŋe,PROPN,,
Utəŋatki,Utəŋa-tki,2,Утэнгэ-dir,Uteŋe,PROPN,,
